nickname,type,obj,source_family,source_release,retrieved_at_utc,stable_source_id,source_row_sha256,query_response_sha256,adopted_z,adopted_z_err,measurement_kind,source_disposition,final_verdict,budget_eligible
phineas,halo,194051777813062524,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432581,c1d5029e95e51b1cb64472c317ee48284340c6a674bc06c1e1e1570a0ae1db60,4a51f77170bcd1d864dd9ef661d16d54b3ef8a374106de29692fc2d7422c0312,0.1096,0.0,spectroscopic,frozen,confirmed,True
phineas,cluster,"J115120.4+714435, 1254337",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503620432753,03789cc296f1e2e84c364d228d2bf02c2672d87835d15e147e591331150d659c,097e803f5b885ee2447d408d39e4e5a513289f47a2b67192b0c88d457f04aeec,0.2,0.0001,spectroscopic,frozen,confirmed,True
phineas,cluster,"J115128.2+713637, 1254415",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633501703636074,13a1f1f3728aeb09ac1c21b601e10f94b2358569a493cd0b94824192a1c17407,78dade00dd4dd315b9eceb64b9d909f1a658a92838a77e169e8495972f24a68d,0.1916,0.0001,spectroscopic,frozen,confirmed,False
phineas,cluster,"J114944.0+714348, 1253496",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503616239915,2bcb71cc4121298b7bf7478983a4a08a6c38897ffe4eed35533bda2e5048e497,6044265cf7bc1deed9dae46057a6aeaf7bfc47024cabd7aa7a6d1eae5c3cfa7a,0.244,0.0,spectroscopic,frozen,confirmed,False
phineas,cluster,"J115140.5+712732, 1254506",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633501703636447,93857f590b8e1c191200a50e2e2795fb41edc87bf026c7ad06a7db108cc62d73,194418b5c068a4cac5646585f9f01a4681946a5bedf89c148a5b4aff5ef4278c,0.1758,0.0001,spectroscopic,frozen,confirmed,False
phineas,cluster,"J115400.9+713320, 1255773",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633501707829654,d7eee90e4c074124f0cd2cb40384c7228ce1b8a77056e22c0ded2def6d9ce02d,2cc52e2fc7721eb70dfd8cc991600de1fed9207e266468ed8917e18bb3c3e499,0.1549,0.0,spectroscopic,frozen,confirmed,False
phineas,cluster,"J115031.4+715735, 1253898",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633505512063276,55c26ec2b11c49b02632f6ba42824a8ba7bc641817d1cdb33e98e647afa4f6b6,ca18326689f40403aed4aaae6894e7e5ea540762705b94f8ccf084b20a147cea,0.2696,0.0001,spectroscopic,frozen,confirmed,False
phineas,cluster,"J115436.9+713930, 1256077",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633503624627105,f8c82bdb7185e89b9fa09b343b9069efe420483b2d45c43475ef43318af746d8,23e0592873bc1f49495a4876b835e026298f0ee94c28bdf75f4f67c2f2f054ae,0.2628,0.0001,spectroscopic,frozen,confirmed,False
phineas,cluster,"J114928.5+712526, 1253366",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633501699443026,21ae0b42c6077ba25ee837f624ca0d339cf1daa2bf16dd68c728cd9b3e66adc7,06c53e0adfad0400405d9d38d05807e90568a9a06fd16d0c158d247f331d4423,-0.0001,0.0,spectroscopic,frozen,confirmed,False
freya,halo,197030881733398302,PS1-STRM,PS1-STRM HLSP declination strips p69-p77,2026-07-22T12:11:40+00:00,objID:197030881733398302,87dcccc8370c027ae81b6171f77ea9df53094032e04545fd73be7833e2ed11f9,not_applicable,0.3047,0.068,photometric,frozen,inconclusive,False
